SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,CAND_IND_3,PAN0PRI0PRD,PAN0PRI,PAN0PRD,PRI0PRD,PVEM0PT0MORENA,PVEM0PT,PVEM0MORENA,PT0MORENA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
1757,SAN MARTIN TEXMELUCAN,60,40,4,21,13,30,88,20,4,15,0,0,0,0,0,0,0,0,0,2,1,313,651,C,5,7
1757,SAN MARTIN TEXMELUCAN,69,30,1,16,23,24,95,18,2,9,0,0,0,1,0,0,0,0,3,0,0,302,650,C,5,7
1758,SAN MARTIN TEXMELUCAN,40,26,4,12,14,30,77,12,2,18,0,0,0,0,0,0,0,0,0,0,0,258,712,B,5,7
1758,SAN MARTIN TEXMELUCAN,33,25,2,9,22,20,95,9,5,12,0,0,0,0,3,0,0,0,0,0,3,248,711,C,5,7
1758,SAN MARTIN TEXMELUCAN,37,30,9,14,10,34,70,24,1,12,0,0,0,1,0,0,0,1,0,0,1,257,711,C,5,7
1758,SAN MARTIN TEXMELUCAN,28,15,5,15,16,33,91,21,3,8,0,0,0,0,0,0,0,0,0,0,2,249,711,C,5,7
1758,SAN MARTIN TEXMELUCAN,33,34,5,16,20,16,106,14,1,12,0,0,0,0,1,0,0,0,0,1,2,266,711,C,5,7
1759,SAN MARTIN TEXMELUCAN,44,44,7,16,18,37,99,14,6,17,0,0,0,4,1,4,0,1,0,0,1,326,733,B,5,7
1759,SAN MARTIN TEXMELUCAN,40,43,6,11,23,28,80,28,3,21,0,0,0,0,0,1,0,0,1,0,0,285,733,C,5,7
1759,SAN MARTIN TEXMELUCAN,41,53,6,8,32,32,80,12,8,16,0,0,0,0,1,1,0,0,0,0,0,305,732,C,5,7
1760,SAN MARTIN TEXMELUCAN,17,43,7,12,12,13,88,11,2,12,0,0,0,1,0,1,0,0,0,0,0,227,572,B,5,7
1760,SAN MARTIN TEXMELUCAN,26,26,2,12,9,26,70,7,2,10,0,0,0,1,1,0,0,1,1,0,3,205,571,C,5,7
1760,SAN MARTIN TEXMELUCAN,33,23,5,7,14,11,70,13,5,7,0,0,0,1,0,1,0,1,0,1,5,207,571,C,5,7
1760,SAN MARTIN TEXMELUCAN,36,30,1,4,14,8,75,4,0,13,0,0,0,0,0,0,0,0,0,0,0,190,571,C,5,7
1761,SAN MARTIN TEXMELUCAN,37,51,6,18,13,27,78,16,2,13,0,0,0,1,0,0,0,0,0,0,0,280,610,B,5,7
1761,SAN MARTIN TEXMELUCAN,46,29,7,12,23,13,73,8,1,21,0,0,0,1,0,0,0,0,0,0,0,246,610,C,5,7
1761,SAN MARTIN TEXMELUCAN,28,38,5,8,8,12,79,9,2,13,0,0,0,3,2,1,0,2,0,0,3,219,610,C,5,7
1762,SAN MARTIN TEXMELUCAN,34,23,2,27,8,23,74,10,0,12,0,0,0,1,0,1,0,2,0,0,1,228,692,B,5,7
1762,SAN MARTIN TEXMELUCAN,45,17,2,22,6,19,53,5,3,12,0,0,0,3,0,1,0,1,0,1,1,199,692,C,5,7
1762,SAN MARTIN TEXMELUCAN,27,29,6,18,17,32,76,15,2,9,0,0,0,1,0,0,0,1,0,0,1,241,692,C,5,7
1762,SAN MARTIN TEXMELUCAN,42,28,2,19,13,26,61,9,3,21,0,0,0,0,1,1,0,0,1,0,0,234,692,C,5,7
1763,SAN MARTIN TEXMELUCAN,30,28,4,21,16,28,53,3,2,6,0,0,0,1,2,0,0,0,1,0,1,209,659,B,5,7
1763,SAN MARTIN TEXMELUCAN,43,35,4,22,16,24,64,7,3,5,0,0,0,2,1,0,0,0,0,0,3,242,659,C,5,7
1763,SAN MARTIN TEXMELUCAN,50,32,4,23,14,24,73,10,1,11,0,0,0,0,0,0,0,0,0,0,0,246,659,C,5,7
1763,SAN MARTIN TEXMELUCAN,37,28,2,15,13,23,67,5,2,13,0,0,0,4,2,0,0,0,0,0,0,220,659,C,5,7
1764,SAN MARTIN TEXMELUCAN,22,27,4,15,14,27,49,7,2,9,0,0,0,0,1,0,0,0,0,1,2,187,599,B,5,7
