SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PT,PVEM,MC,CPP,PSI,MORENA,PES,PANAL,C_PRD_MC_CPP,C_PRD_MC,C_PRD_CPP,C_MC_CPP,C_PAN_PRD_MC_CPP,C_PAN_PRD_MC,C_PAN_PRD_CPP,C_PAN_MC_CPP,C_PRD_MC_CPP,C_PAN_PRD,C_PAN_MC,C_PAN_CPP,C_PRD_MC,C_PRD_CPP,C_MC_CPP,C_PT_PVEM_MORENA_PES,C_PT_PVEM_MORENA,C_PT_PVEM_PES,C_PT_MORENA_PES,C_PVEM_MORENA_PES,C_PT_PVEM,C_PT_MORENA,C_PT_PES,C_PVEM_MORENA,C_PVEM_PES,C_MORENA_PES,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,C_PAN_CPP,C_PRI_CPP,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
863,OCOYUCAN,17,128,56,1,0,2,19,0,24,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269,490,B,13,21
863,OCOYUCAN,20,120,52,4,0,2,34,0,28,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Ilegible,0,0,0,0,0,0,0,0,0,0,271,489,C,13,21
864,OCOYUCAN,38,149,61,8,6,5,8,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,335,664,B,13,21
864,OCOYUCAN,23,156,45,3,12,3,7,0,77,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,350,664,C,13,21
864,OCOYUCAN,36,158,57,5,1,7,5,0,62,5,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,365,664,C,13,21
864,OCOYUCAN,51,153,62,2,2,7,9,0,30,1,0,4,1,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,351,663,C,13,21
865,OCOYUCAN,17,85,63,5,3,5,9,0,35,1,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,240,510,B,13,21
865,OCOYUCAN,8,118,55,2,4,4,9,0,43,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,264,510,C,13,21
865,OCOYUCAN,9,118,64,1,4,7,8,0,48,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,275,509,C,13,21
866,OCOYUCAN,8,130,101,2,1,0,2,0,12,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,351,B,13,21
866,OCOYUCAN,37,210,36,6,2,6,1,0,54,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367,666,E,13,21
866,OCOYUCAN,5,85,26,1,1,2,10,0,16,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,154,216,E,13,21
2083,TEPEOJUMA,0,236,0,32,0,2,0,0,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,2,2,0,0,434,602,B,13,22
2083,TEPEOJUMA,0,249,0,34,1,0,0,0,121,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,1,1,0,0,432,602,C,13,22
