MUNICIPIO,SECCION ELECTORAL,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,PRIORIDAD
CHIGNAHUAPAN,482,100,380,23,288,67,11,139,5,0,0,0,40,7,13,3,1112,2529,BAJA (A)
SAN ANDRES CHOLULA,1668,423,111,14,45,15,15,262,62,9,7,1,73,8,10,9,1108,3830,BAJA (A)
AHUAZOTEPEC,77,112,336,16,162,56,27,274,3,0,1,0,16,8,8,9,1108,2687,BAJA (A)
ATEMPAN,139,153,297,6,80,96,10,330,13,1,2,0,54,6,13,4,1107,2851,BAJA (A)
OCOYUCAN,862,93,442,117,85,29,16,270,3,4,0,1,13,3,7,1,1107,1663,BAJA (A)
TEPEXI DE RODRIGUEZ,2099,161,197,15,96,38,13,410,12,1,5,1,85,13,11,5,1106,2512,BAJA (A)
PUEBLA,1589,287,172,13,60,23,28,260,59,8,10,1,104,5,16,4,1106,3745,BAJA (A)
QUECHOLAC,1621,70,25,1,66,16,9,765,14,3,3,0,68,16,17,8,1105,1684,BAJA (A)
TEHUACAN,1971,408,56,7,51,44,14,361,38,5,7,0,64,2,9,10,1103,3163,BAJA (A)
ZACATLAN,2469,313,179,17,86,60,26,270,34,4,7,2,54,3,6,4,1101,956,BAJA (A)
PUEBLA,1070,402,121,11,61,19,31,244,64,6,5,0,57,9,16,5,1094,4681,BAJA (A)
HUEJOTZINGO,672,65,426,4,148,72,12,243,6,0,1,0,53,16,21,4,1094,2861,BAJA (A)
PALMAR DE BRAVO,901,236,175,8,54,22,15,174,100,52,52,15,82,18,32,31,1092,3945,BAJA (A)
TEHUACAN,2012,519,97,4,55,60,13,237,21,1,7,0,35,3,7,4,1090,4112,BAJA (A)
PUEBLA,1093,670,58,13,30,10,29,82,114,14,13,0,30,1,5,2,1090,2175,BAJA (A)
SAN PEDRO CHOLULA,1803,535,90,19,31,9,36,166,100,10,10,0,37,2,9,6,1087,2598,BAJA (A)
PUEBLA,1058,431,67,13,64,35,18,249,68,8,11,1,65,3,9,13,1086,3389,BAJA (A)
PUEBLA,950,420,102,28,48,25,24,215,82,9,9,3,63,4,3,10,1085,3569,BAJA (A)
